,Product ID,Period,Value of pay,Segment of payment,Client's gender,Client's age
67,4,99,-1,102299,M,81
68,2,13,"918,75",101799,M,78
69,6,40,1,101799,M,65
70,6,54,1,101799,F,67
71,4,52,1,101799,M,81
72,4,40,1,102099,M,46
73,4,99,-1,101799,F,76
74,6,13,1,101799,F,56
75,4,40,2,102099,M,85
76,4,99,-1,102199,F,61
77,4,99,-1,101799,F,65
78,4,13,2,102199,F,33
79,4,13,1,101799,F,46
80,1,13,1,102199,M,55
81,4,54,1,101799,M,57
82,4,18,1,101799,F,32
83,1,38,2,101799,M,68
84,6,42,2,101799,M,37
85,4,99,-1,101799,F,70
86,4,18,1,102099,F,37
87,4,40,1,102199,F,47
88,1,13,1,101799,M,75
89,1,52,1,101799,M,59
90,2,52,1,101799,M,56
91,4,18,1,102099,M,69
92,2,42,1,102199,F,62
93,6,42,1,101799,M,29
94,4,99,-1,101799,M,35
95,4,99,"-13413,4",102099,M,76
96,6,52,1,101799,M,66
97,4,55,2,102299,M,81
98,4,42,1,102199,F,71
99,4,54,1,101799,F,55
100,4,52,1,102199,M,83
101,4,99,-2,101799,M,48
102,1,54,1,101799,M,52
103,6,16,1,101799,F,65
104,4,13,1,101799,F,50
105,4,99,-1,102099,F,71
106,6,54,2,102199,M,53
107,2,44,1,101799,F,80
108,4,44,1,101799,M,49
109,6,42,1,101799,M,85
110,4,55,1,101799,F,75
111,2,38,1,101799,F,41
112,4,99,-4,101899,M,63
113,4,42,1,101799,F,40
114,1,42,1,102199,M,80
115,4,13,1,102199,M,29
116,1,16,1,101799,M,42
117,4,13,1,102299,F,29
118,6,13,1,101799,M,40
119,4,13,1,101799,M,73
120,4,99,-1,101799,M,66
121,4,99,-1,101799,F,32
122,4,42,1,101799,F,49
123,2,52,3,101799,M,71
124,4,13,1,102099,M,68
125,4,99,-1,102099,F,31
126,4,99,-1,101799,M,33
127,1,54,1,101799,F,41
128,2,40,1,102199,F,60
129,4,16,6,102099,F,62
130,1,40,2,101799,M,29
131,1,40,1,101799,M,69
132,4,55,2,102099,M,37
133,4,99,-1,102199,F,35
134,4,99,-1,101799,F,37
135,2,44,1,101799,F,32
136,2,38,1,101799,M,69
137,4,55,5,101899,M,86
138,2,42,1,101799,M,63
139,1,13,1,101799,M,57
140,1,70,1,102499,M,81
141,6,40,1,101799,M,59
142,4,99,-1,102199,F,39
143,6,44,1,101799,F,40
144,4,13,1,102199,F,78
145,4,13,2,102099,F,27
146,4,52,1,101799,F,73
147,4,16,"1805,57",102199,F,48
148,4,99,-1,102099,M,24
149,4,40,1,101799,M,59
150,4,49,1,102099,M,80
151,6,13,1,101799,F,39
152,2,52,1,101799,M,86
153,4,40,1,102099,F,36
154,4,44,1,101799,F,52
155,1,42,1,101799,F,72
156,6,42,1,101799,F,78
157,1,52,1,101799,M,39
158,4,52,2,101799,M,72
159,4,42,1,102199,M,72
160,1,42,1,101799,M,76
161,4,54,3,101799,F,62
162,4,99,-1,101799,M,79
163,4,99,"-14477,4",101799,F,49
164,4,99,-1,101799,M,45
165,4,99,-1,101799,F,58
166,4,99,-10,102099,F,56
167,4,13,1,101799,F,84
168,2,38,1,101799,F,79
169,1,42,-2375,101799,M,78
170,4,40,1,101799,M,29
171,4,99,-2,102199,F,48
172,4,16,1,101799,M,39
173,4,44,2,101799,M,40
174,6,16,2,102199,F,63
175,4,99,-1,102199,F,80
176,2,13,1,101799,F,70
177,4,16,2,101699,F,62
178,4,44,1,101799,F,39
179,4,99,-1,101799,M,23
180,4,13,1,101699,F,45
181,4,16,1,102199,M,59
182,2,52,"-612,5",101799,F,31
183,1,42,1,101799,M,30
184,2,38,1,101799,M,27
185,6,55,1,101799,F,82
186,4,42,1,101799,F,79
187,4,16,1,102199,F,51
188,4,40,3,102299,F,43
189,4,52,1,101799,F,56
190,2,13,1,102199,M,70
191,4,55,1,101899,M,43
192,4,13,1,102099,F,32
193,4,67,2,101799,F,51
194,6,42,1,101799,M,50
195,1,38,1,101799,M,73
196,4,38,1,101799,M,49
197,1,52,2,101799,M,33
198,4,42,1,102199,F,74
199,4,40,1,102099,F,65
200,1,44,1,101799,M,27
201,4,55,1,101799,F,39
202,4,16,2,101799,M,78
203,2,40,1,101799,M,57
204,1,38,1,101799,M,77
205,1,55,1,102199,M,75
206,4,38,1,102299,M,35
207,1,38,1,101799,F,80
208,4,13,3,102299,F,38
209,4,40,2,101699,F,63
210,4,99,-4,102199,M,42
211,4,38,"2333,33",101799,F,49
212,4,99,-1,101799,F,49
213,6,42,1,101799,M,53
214,2,55,1,101799,M,73
215,4,99,-1,101799,F,84
216,4,99,-4,102099,M,54
217,4,44,1,101799,F,77
218,4,42,1,101799,M,82
219,2,42,2,101799,M,27
220,4,54,1,102099,F,64
221,4,44,1,102199,F,43
222,4,54,"8850,4",101799,M,48
223,6,70,1,101799,F,79
224,4,99,-1,101799,F,86
225,4,16,2,102199,F,31
226,6,54,1,102199,F,73
227,1,40,1,101799,M,24
228,4,99,-1,101799,M,77
229,6,44,1,101799,M,81
230,2,67,3,101799,F,69
231,4,42,2,101799,F,81
232,1,52,1,101799,F,52
233,2,38,1,101799,F,56
234,1,44,2500,101799,M,73
235,4,42,1,101799,F,59
236,4,99,-8,102099,F,61
237,2,38,2,101799,F,80
238,1,38,1,101799,M,86
239,4,54,3,101799,F,34
240,4,52,1,101799,F,71
241,1,38,1,101799,M,84
242,4,38,1,101799,M,85
243,4,42,1,101799,M,46
244,4,52,1,102099,M,41
245,2,13,1,101799,F,42
246,4,99,-6,101799,F,43
247,4,13,2,102099,M,82
248,4,99,-2,102199,M,35
249,4,40,1,101799,M,63
250,1,44,1,101799,M,30
251,4,40,1,101799,F,54
252,4,54,1,102099,M,78
253,6,70,2,101799,M,45
254,2,70,1,102199,F,54
255,4,40,1,101799,F,30
256,4,99,-1,102199,M,29
257,4,13,1,101799,F,28
258,4,40,1,102299,F,75
259,4,13,1,102199,F,63
260,4,16,1,101799,F,58
261,4,13,1,102199,M,45
262,4,42,1,101799,F,78
263,4,42,5,101799,M,85
264,4,16,2,101799,M,69
265,4,54,1,102199,M,34
266,4,44,1,101799,M,55
267,4,67,2,101799,F,38
268,2,52,1,101799,F,38
269,1,44,1,101799,M,62
270,4,99,-1,101799,F,30
271,4,42,1,101799,M,56
272,1,38,1,101799,M,84
273,4,52,1,101799,F,71
274,1,38,1,101799,M,24
275,4,52,1,101799,F,26
276,4,42,2,101799,F,37
277,4,44,1,101799,F,37
278,4,40,1,102099,F,46
279,4,16,1,101799,F,33
280,4,99,-1,102199,F,44
281,4,99,-1,101799,M,72
282,4,54,1,101799,M,65
283,2,42,"2161,25",101799,F,24
284,4,44,1,101799,M,85
285,4,44,1,101799,F,27
286,4,99,-1,102099,M,77
287,4,42,1,101799,F,52
288,2,54,1,101799,F,86
289,6,52,1,101799,M,51
290,1,52,1,101799,M,82
291,4,99,-1,102199,M,26
292,4,55,1,102199,F,46
293,1,16,1,101799,F,41
294,4,40,1,102099,M,82
295,4,99,-1,101799,M,70
296,4,99,-1,102099,F,71
297,4,40,2,102299,F,26
298,4,44,1,102099,M,45
299,4,13,2,102099,F,52
300,4,67,1,101799,F,39
301,4,18,1,101799,F,82
302,4,16,11,102099,M,69
303,2,55,1,101799,M,38
304,4,55,1,101799,F,56
305,6,18,1,101799,F,42
306,2,13,1,101799,M,79
307,4,38,1,101799,M,28
308,2,42,1,101799,F,78
309,4,99,-3,101799,M,52
310,1,44,1,101799,M,71
311,4,99,-1,101799,F,79
312,6,55,1,101799,F,27
313,1,52,1,101799,F,74
314,4,99,-1,101899,M,56
315,4,99,-1,101799,F,61
316,4,52,1,101799,M,68
317,4,40,1,101799,F,29
318,1,52,1,101799,M,78
319,4,18,1,102299,F,46
320,4,13,1,101799,M,32
321,4,52,1,102099,M,63
322,4,42,1,102099,M,38
323,4,70,1,102099,M,71
324,2,18,1,101799,F,47
325,4,44,1,101799,M,79
326,2,55,1,101799,F,77
327,4,16,5,102299,F,55
328,4,38,1,101799,F,77
329,1,54,1,101799,M,40
330,4,52,1,102199,F,67
331,4,99,-4,101799,F,33
332,4,99,-20,101799,M,67
333,4,54,1,101799,F,79
334,4,55,1,102099,M,72
335,2,40,1,101799,M,51
336,4,55,1,102099,M,82
337,6,55,1,101799,M,49
338,4,13,1,101799,F,49
339,4,16,1,102099,F,42
340,1,16,1,101799,F,49
341,4,67,1,101799,M,84
342,4,44,1,101799,F,48
343,4,99,-1,101799,M,69
344,1,55,1,101799,F,68
345,1,42,1,101799,M,60
346,1,55,1,101799,F,69
347,4,99,-1,101799,M,56
348,4,13,1,102099,M,46
349,2,42,1,101799,M,72
350,4,42,1,101799,F,24
351,4,99,-1,102199,M,81
352,4,54,3,102299,F,80
353,2,42,1,101799,F,29
354,4,40,1,101799,F,69
355,4,13,"4985,13",101799,M,65
356,4,40,1,102199,F,53
357,4,99,-1,101799,F,24
358,6,40,1,102199,F,70
359,4,13,3,102099,M,65
360,4,99,-13,102299,F,59
361,4,44,1,101799,M,68
362,2,55,"674,38",101799,M,86
363,4,55,1,102099,M,66
364,4,99,-1,101799,M,65
365,4,16,1,102199,M,49
366,4,55,5,102199,F,41
367,4,40,1,101799,F,49
368,4,18,1,102199,M,46
369,4,42,2,102199,M,50
370,4,52,2,101799,F,49
371,4,44,2,102099,M,83
372,1,18,1,101799,F,77
373,4,40,2,101799,M,54
374,4,13,1,101799,M,51
375,4,54,1,101799,F,38
376,4,99,-2,102199,M,51
377,1,38,"-674,38",101799,F,77
378,2,13,1,101799,F,53
379,2,44,1,101799,F,33
380,4,44,1,102099,F,64
381,4,42,1,102199,M,31
382,1,42,1,101799,F,25
383,6,44,-625,101799,F,34
384,4,42,1,102199,F,36
385,6,40,1,101799,M,79
386,1,54,1,101799,F,32
387,1,54,1,101799,M,66
388,2,44,1,101799,M,26
389,4,44,15,101799,M,66
390,4,55,2,102099,M,28
391,4,54,5,102099,F,84
392,4,99,-3,102299,F,28
393,4,70,2,102099,F,84
394,1,52,1,101799,M,61
395,4,99,-1,102199,M,23
396,4,99,-2,102199,M,67
397,4,42,1,101799,M,34
398,4,99,-1,101799,M,59
399,1,55,1,101799,M,83
400,4,54,1,101799,F,79
401,4,99,-10,101899,M,66
402,4,16,5,101699,M,82
403,1,40,1,101799,F,69
404,1,67,1,101799,M,42
405,2,52,1,101799,M,26
406,4,54,1,101799,M,81
407,4,16,1,101799,F,31
408,4,18,1,101799,M,45
409,2,52,1,102099,M,53
410,4,44,2,101799,F,48
411,4,99,-40,101799,F,76
412,6,67,1,101799,F,26
413,4,18,1,101799,F,41
414,2,52,1,101799,F,57
415,4,52,1,101799,F,43
416,4,55,1,101799,M,74
417,2,44,1,101799,F,54
418,1,38,1,101799,F,49
419,4,42,1,101799,M,31
420,1,38,1,101799,M,67
421,4,40,1,102499,F,84
422,4,99,-9,101799,M,30
423,6,44,1,101799,M,86
424,4,13,1,101799,M,62
425,4,40,2,102299,M,81
426,4,40,1,101799,F,61
427,4,13,1,101799,M,31
428,6,40,2,101799,M,57
429,4,54,1,101799,F,45
430,4,44,2,101799,M,77
431,2,52,1,101799,F,28
432,4,18,1,101799,M,46
433,4,77,1,101799,M,24
434,4,44,1,101799,M,35
435,4,52,2,102199,F,65
436,4,99,-7,102099,F,63
437,2,52,1,102199,F,50
438,2,52,1,101799,M,49
439,4,70,9,101899,M,29
440,2,42,-1250,101799,M,55
441,2,16,1,101799,M,45
442,2,38,1,101799,F,59
443,1,42,1,101799,M,24
444,4,55,1,102199,M,70
445,4,55,1,101799,M,35
446,2,40,1,101799,F,41
447,1,42,1,101799,F,54
448,1,55,1,101799,F,42
449,2,40,1,101799,F,76
450,2,52,1,101799,M,58
451,4,54,1,101799,M,57
452,4,99,-1,101799,F,54
453,6,44,1,101799,F,64
454,4,99,-1,101799,F,72
455,4,99,-10,102299,F,72
456,4,67,3,101799,F,77
457,4,99,"-5742,19",101799,F,84
458,1,54,1,101799,M,50
459,4,99,-1,102499,M,47
460,1,52,1,101799,F,65
461,4,52,1,101899,M,56
462,4,40,"-12225,67",102099,M,70
463,4,54,2,101799,F,79
464,4,99,-16,102299,M,30
465,4,99,-1,102099,M,67
466,2,42,1,101799,M,65
467,4,42,1,101799,F,41
468,2,18,1,101799,F,71
469,2,18,1,101799,M,83
470,2,42,1,101799,M,86
471,4,18,1,101799,M,58
472,6,40,1,101799,M,33
473,4,42,1,101799,M,64
474,1,42,1,101799,M,42
475,1,13,1,101799,F,66
476,6,16,1,101799,M,39
477,4,99,-1,101799,M,64
478,4,16,1,101699,M,59
479,1,54,1,101799,M,40
480,4,40,1,101799,F,69
481,4,55,1,101799,M,79
482,6,16,1,101799,M,75
483,1,38,1,101799,F,65
484,2,13,1,101799,F,59
485,4,99,-1,102299,M,64
486,4,54,5,101799,F,56
487,4,18,1,102099,F,52
488,4,52,1,101799,F,54
489,2,38,1,101799,F,27
490,4,13,1,102099,F,84
491,4,16,1,101799,F,40
492,2,52,1,101799,M,33
493,2,13,1,101799,F,24
494,4,44,1,102199,M,77
495,2,38,2,101799,F,58
496,4,13,1,101799,M,42
497,1,55,1,101799,M,59
498,4,16,1,101799,M,68
499,4,67,1,101799,F,57
500,4,70,1,102199,F,36
501,2,55,1,101799,M,32
502,2,55,1,101799,M,78
503,6,16,1,101799,F,66
504,4,67,6,102099,M,67
505,4,42,1,102099,M,46
506,4,40,1,101799,F,49
507,4,54,1,101799,M,67
508,4,54,5,101799,F,68
509,4,99,-1,101799,F,71
510,4,99,-2,102499,M,73
511,6,13,1,101799,M,55
512,4,42,1,101799,M,23
513,6,16,1,101799,M,58
514,4,44,1,101799,F,82
515,4,54,1,101799,M,68
516,4,99,-1,102099,M,28
517,2,13,1,101799,F,85
518,1,52,1,101799,F,32
519,4,18,1,101799,M,26
520,4,70,1,101799,M,24
521,6,55,1,101799,M,42
522,1,13,1,101799,F,73
523,4,99,-4,102199,F,36
524,6,42,1,101799,M,78
525,1,18,1,101799,M,82
526,1,55,1,101799,F,78
527,4,18,1,102099,M,39
528,4,42,1,101799,F,30
529,4,54,1,101799,M,78
530,4,13,"2916,67",102199,F,64
531,4,54,2,102199,F,27
532,4,13,2,101799,M,33
533,2,52,1,101799,M,33
534,4,99,-1,102199,M,29
535,4,42,1,102199,M,71
536,4,44,1,101799,F,52
537,4,99,-1,102099,F,63
538,4,99,-1,101799,M,63
539,1,70,1,101799,F,47
540,4,42,1,101799,M,37
541,4,52,1,102299,F,40
542,4,99,-1,101799,F,58
543,6,16,1,101799,M,23
544,2,38,1,101799,F,76
545,2,13,1,102199,F,38
546,4,99,-3,101799,M,25
547,4,40,1,101799,F,67
548,4,99,-2,102299,M,57
549,1,40,1,102199,F,25
550,4,77,3,102099,M,56
551,4,99,-1,102199,F,44
552,2,16,1,102199,F,42
553,4,99,-2,101799,M,75
554,1,42,1,101799,M,33
555,4,13,3,102099,M,41
556,1,38,1,102199,M,80
557,4,99,-4,101699,F,62
558,4,99,-1,102099,F,43
559,4,99,"-40526,91",102099,M,77
560,4,40,1,101799,F,41
561,4,54,1,102099,M,81
562,2,44,1,101799,M,30
563,4,44,1,102299,M,31
564,4,99,-2,101799,F,43
565,6,42,1,101799,M,38
566,4,99,-1,102099,F,35
567,4,99,-1,101799,M,60
568,6,44,1,101799,M,45
569,4,42,1,102099,M,76
570,6,42,1,101799,F,55
571,4,40,1,101799,M,83
572,1,16,"1348,75",101799,M,70
573,1,54,1,101799,F,31
574,6,16,1,102199,M,58
575,4,99,-2,102199,F,66
576,2,40,1,101799,F,59
577,6,52,1,101799,M,70
578,1,38,1,101799,F,27
579,2,54,1,101799,M,61
580,4,44,1,101799,M,37
581,4,44,2,102199,F,40
582,2,44,1,102199,M,41
583,4,52,1,101799,M,32
584,2,18,1,101799,F,26
585,4,99,-2,101799,M,65
586,1,18,1,101799,F,42
587,1,52,1,101799,F,80
588,1,52,1,101799,F,53
589,4,40,1,101799,M,30
590,4,42,1,101799,F,75
591,4,40,1,102199,F,48
592,4,99,-1,102099,M,32
593,2,44,1,101799,F,56
594,6,67,1,101799,F,54
595,4,99,-1,101799,F,33
596,1,38,1,101799,M,39
597,4,42,1,102099,F,67
598,2,44,1,101799,F,49
599,4,44,1,101799,F,45
600,4,99,-2,101799,M,60
601,4,13,1,102199,M,65
602,4,44,1,101799,M,65
603,4,99,-1,102099,M,30
604,1,44,1,101799,M,23
605,4,44,2,101899,F,70
606,4,55,1,101799,M,76
607,4,13,1,101799,F,52
608,4,99,-1,101799,M,41
609,2,38,1,101799,M,26
610,4,52,1,101799,F,80
611,2,16,1,101799,M,26
612,4,44,1,101799,M,62
613,2,52,1,101799,M,83
614,6,52,1,101799,M,57
615,4,44,1,101799,F,51
616,4,99,-1,102099,F,25
617,4,42,1,101799,F,37
618,4,40,1,101799,F,86
619,1,54,1,101799,M,58
620,4,52,1,101799,M,25
621,1,40,1,101799,M,26
622,1,52,1,101799,M,54
623,4,99,-5,101799,M,31
624,4,55,9,101799,M,46
625,4,16,1,102099,F,75
626,4,13,1,102199,F,61
627,4,99,-2,101799,F,70
628,4,55,1,102199,F,55
629,4,52,1,101799,F,76
630,4,52,1,101799,F,45
631,1,38,1,102199,F,70
632,4,38,1,101799,F,40
633,4,40,1,101799,M,57
634,4,44,4,102099,F,35
635,1,38,1,101799,F,72
636,4,13,1,101799,F,55
637,6,55,1,101799,F,37
638,4,13,4,102099,M,28
639,4,99,-1,102099,F,37
640,2,42,2,101799,M,82
641,2,40,1,101799,F,81
642,4,40,1,102199,M,42
643,4,55,6,101799,F,80
644,4,54,1,102099,M,42
645,6,44,1,101799,F,86
646,4,40,2,101799,F,80
647,4,54,1,101799,F,37
648,4,52,1,102099,F,39
649,4,70,1,101799,F,72
650,4,99,-1,101799,F,49
651,4,99,-2,101899,F,86
652,1,52,1,101799,F,53
653,6,42,1,101799,M,43
654,4,44,1,102099,F,75
655,2,44,1,101799,M,47
656,6,44,1,101799,F,83
657,4,99,-1,102199,M,43
658,4,13,1,102299,M,85
659,4,54,1,101799,M,74
660,2,55,1,101799,F,82
661,4,52,17,102299,F,36
662,6,40,1,101799,M,46
663,2,38,1,101799,F,36
664,6,16,1,102199,M,35
665,2,18,1,101799,M,72
666,4,52,3,102199,F,41
667,4,42,1,101799,F,58
668,4,44,1,102199,M,35
669,4,99,-2,101899,F,78
670,2,13,1,101799,F,32
671,1,16,1,101799,M,39
672,4,40,2,101799,M,64
673,4,55,1,101899,F,39
674,6,42,1,101799,F,47
675,4,99,-4,102099,M,60
676,6,18,1,101799,F,63
677,4,54,1,101799,M,23
678,4,54,1,101799,F,78
679,1,67,1,101799,F,54
680,4,52,1,101799,M,85
681,4,99,-1,101799,F,30
682,6,55,1,101799,M,25
683,4,52,2,102299,F,86
684,2,55,1,101799,M,35
685,2,38,1,101799,F,30
686,2,55,2,101799,F,50
687,4,42,1,101799,F,63
688,6,13,1,101799,F,83
689,4,16,3,102099,M,74
690,4,44,1,101799,M,60
691,4,52,1,101799,M,38
692,4,99,-1,102199,F,56
693,1,52,1,101799,M,78
694,4,54,1,101799,M,47
695,4,55,5,102099,M,45
696,6,16,1,101799,M,85
697,4,42,1,101799,F,52
698,4,99,-1,102199,F,78
699,4,44,1,101799,M,48
700,4,99,-1,101799,M,66
701,1,70,1,101799,F,84
702,6,13,1,101799,M,36
703,4,38,2,102299,M,80
704,4,44,3,101799,F,59
705,4,99,-1,101799,M,44
706,4,99,-2,101699,M,41
707,4,13,1,101799,F,60
708,4,99,-2,101799,F,83
709,4,99,-2,102199,M,67
710,2,13,1,101799,F,76
711,4,55,1,102099,F,50
712,4,16,1,101799,M,75
713,1,40,1,101799,M,66
714,1,52,1,101799,M,43
715,4,99,-1,101799,F,39
716,4,70,1,102199,F,78
717,2,55,1,101799,F,81
718,1,67,1,101799,M,62
719,4,99,-1,101799,M,37
720,2,52,1,101799,F,74
721,6,16,1,102199,M,40
722,1,54,1,101799,M,60
723,4,99,-1,101799,F,59
724,2,18,1,101799,M,47
725,4,99,-2,101799,F,43
726,4,99,-1,101799,M,62
727,1,40,1,101799,F,46
728,4,40,1,102099,M,44
729,4,99,-1,102299,F,59
730,4,40,2,102099,M,40
731,1,42,1,101799,M,85
732,4,44,1,102099,M,86
733,4,70,1,101799,M,56
734,4,54,2,101799,F,43
735,4,55,1,101799,M,29
736,4,16,1,102099,F,32
737,2,54,2,101799,F,76
738,4,99,-1,102099,M,71
739,4,70,1,102099,F,83
740,6,54,1,101799,F,61
741,4,52,1,101799,M,86
742,2,13,1,101799,F,64
743,4,16,1,102199,M,23
744,2,38,1,101799,F,31
745,4,18,3,102199,F,75
746,4,44,1,101799,F,72
747,4,99,-1,101799,M,85
748,2,38,1,101799,F,26
749,4,99,-1,101799,F,72
750,4,55,1,102199,M,24
751,6,42,1,101799,M,43
752,4,99,-2,101899,F,60
753,2,18,2,102199,M,61
754,4,52,2,102299,F,77
755,1,54,1,101799,F,82
756,1,42,1,101799,M,31
757,4,99,-1,102099,F,45
758,4,42,1,102199,F,52
759,4,99,-1,101799,M,70
760,4,54,12000,101799,M,76
761,4,42,3,102299,M,39
762,4,99,-2,101799,M,50
763,4,40,3,102299,M,81
764,6,16,1,101799,M,48
765,4,99,-2,101799,F,37
766,4,99,-4,101799,F,44
767,4,44,1,102199,M,74
768,1,55,1,101799,F,73
769,4,49,1,102199,F,66
770,4,99,-1,101799,M,60
771,4,99,-53,102099,F,75
772,6,55,1,101799,M,42
773,4,49,1,102099,M,77
774,1,13,1,101799,F,43
775,4,44,2,101799,M,65
776,4,99,-8,102199,F,68
777,4,44,1,101799,F,80
778,4,44,1,101799,M,49
779,4,42,1,101799,F,37
780,4,42,1,101799,F,64
781,4,55,1,102199,F,34
782,2,42,1,101799,F,54
783,6,55,1,101799,M,72
784,4,42,2,101799,M,24
785,1,40,1,102199,M,81
786,4,54,1,101799,M,65
787,4,52,2,102099,F,62
788,4,42,1,101799,F,34
789,4,52,1,101799,F,26
790,1,52,1,101799,M,28
791,4,42,1,101799,F,37
792,1,40,"1348,75",101799,F,35
793,4,49,2,102299,F,61
794,1,55,1,101799,M,51
795,4,38,"1779,66",101799,F,73
796,4,55,1,101799,F,56
797,4,55,2,102199,F,79
798,4,99,-1,101799,M,73
799,4,55,1,101799,F,30
800,6,55,1,101799,F,30
801,4,49,1,102299,M,84
802,4,52,2,102099,F,47
803,4,38,2,102099,F,73
804,4,67,1,102099,M,27
805,2,52,1,101799,F,50
806,4,40,1,101799,F,64
807,4,99,-1,101799,M,61
808,1,13,1,101799,M,39
809,4,44,3,102299,M,37
810,4,99,-16,101799,M,52
811,2,44,2,101799,M,50
812,1,38,1,101799,F,66
813,1,42,1,101799,F,67
814,1,38,1,101799,M,70
815,1,13,1,101799,F,40
816,1,42,1,101799,F,71
817,4,99,-4,102099,F,36
818,4,52,1,102099,F,34
819,2,13,1,101799,M,61
820,4,16,1,102199,M,83
821,4,99,"-16468,47",101799,M,31
822,4,44,1,102099,F,75
823,2,13,1,101799,M,69
824,4,99,-1,101799,F,44
825,6,42,1,101799,M,72
826,4,16,2,101799,M,28
827,6,40,1,101799,M,65
828,4,40,1,101799,F,74
829,2,44,1,102199,F,72
830,4,99,-1,101799,M,32
831,4,44,1,102099,M,79
832,4,54,1,101799,M,56
833,4,99,-10,102199,F,51
834,4,40,5,102299,M,37
835,4,54,1,101799,F,79
836,4,99,-2,102299,M,66
837,1,44,"674,38",101799,M,43
838,2,44,1,101799,M,73
839,1,40,1,101799,M,59
840,2,40,1,101799,M,47
841,4,40,3,102099,M,41
842,4,67,1,102099,M,73
843,2,42,1,101799,F,38
844,2,13,1,101799,M,68
845,4,13,1,101799,M,46
846,4,99,1,102099,M,31
847,4,16,3,102199,M,57
848,2,44,1,101799,M,30
849,4,52,1,102199,F,52
850,4,44,1,101799,F,64
851,4,70,1,101799,M,67
852,4,70,1,101799,F,43
853,4,13,1,102099,M,76
854,4,70,1,102299,M,85
855,1,16,1,101799,F,29
856,4,99,-1,102199,M,31
857,4,18,1,101799,M,73
858,1,16,1,101799,F,86
859,6,40,1,102499,F,48
860,4,99,"-1333,33",101799,F,79
861,4,42,"53499,12",102299,M,40
862,1,18,1,101799,M,24
863,1,40,1,101799,F,47
864,4,55,1,102199,M,37
865,1,40,1,101799,M,61
866,2,55,1,101799,F,50
867,4,16,2,102099,M,57
868,4,44,1,101799,M,43
869,4,52,1,101799,F,61
870,2,55,1,101799,M,62
871,4,99,-1,102099,M,60
872,1,52,1,101799,F,73
873,4,42,1,101799,M,47
874,4,44,1,102299,F,32
875,4,99,-1,102099,F,80
876,1,40,2,101799,M,53
877,1,54,1,101799,F,28
878,4,55,1,101799,F,35
879,4,99,-1,101799,M,48
880,4,44,1,101799,M,40
881,4,99,-1,101799,F,63
882,4,55,1,102099,F,82
883,2,44,1,101799,M,25
884,1,42,1,101799,F,69
885,2,13,1,101799,M,76
886,4,52,1,101799,M,31
887,4,13,1,101799,M,56
888,4,99,-2,102099,M,85
889,1,38,1,101799,M,62
890,1,38,1,101799,F,65
891,1,70,1,101799,F,65
892,4,42,1,102199,M,26
893,4,99,-1,101799,F,58
894,2,16,1,101799,F,77
895,1,38,1,101799,F,68
896,4,99,-1,101799,F,28
897,4,99,-1,102199,F,70
898,4,44,1,102199,F,24
899,6,54,1,102199,F,82
900,6,38,1,101799,M,45
901,4,99,-11,102299,M,65
902,4,42,2,102099,F,56
903,4,55,3,102099,F,41
904,2,38,2,101799,M,62
905,4,52,2,101799,F,81
906,4,44,1,101799,M,74
907,4,54,3,101799,F,71
908,4,52,1,102199,M,30
909,2,18,1,101799,M,36
910,4,99,-1,101799,F,62
911,2,52,1,101799,M,82
